Mac,US,EqHex,Node,Amp,Cab,Lat,Long
a021b7081c3c,31,08011800003f002affb4ffd2008d0074ff33ff4a0143015dfde6fdad04bd05037f0e00000317f8be04900134fe61fda108d8fefdff9ffe30009e007bff77ff4f00590009006cff850027003d002bffd3fff9fff30008fff2fff0001e004d00060034000a,A1M/1-1A1B,A1MBB,A1MBB10,55.97765589999999,-3.1908605
a021b7163c58,37.6,0801180000130012fff1ffed00370020ff9fffbf00a10084ff0fff16019901b77fc30000fd19fdf5ffbb0023fdf1fea20161fa7d000bffdf0050005dfff3000d003e002fffba00350007000500030017fffd0025004a000fffeefff30059003900230035,A1M/1-1A1B,A1MBH,A1MBH04,55.9783112,-3.1881661
a021b7163c58,31,080118000040002bffc3ffb0006d0097ff67ff1300e001bcfeb0fd2202a406287ef9000004dcf7fc0306ff47fdd6fbe208b4feff00a4fe60003b00b5ffb7ff6c003e009d0054ff840023ffe40021fff4fffeffe10010000ffff900210030000f00210002,A1M/1-1A1B,A1MBH,A1MBH04,55.9783112,-3.1881661
a021b71d504c,37.6,080118000013fff3ffc900270064ffdbff6c005b0102ff80fe4a010803b3fd827f840000fa6d0256050afbe4fc16005b0092ff99ff3200c900690011ffe7002b0058ffab001a00230017fff5002e000300630011002d0011ffedffe6005b003d00210023,A1M/1-1A1B,A1MDD,A1MDD01,55.9788909,-3.1843445
a021b71d504c,24.4,0801180000330021ffbcffa9007e006cff37ff350124015dfe33fd64035c06527f310000f87cfd5dfdcb07be022d01f800650072fe98ffca00420021ffd3ffd600230031ffedfff800190014ffef0002001cfffa0022000bfff3000d003200080019fffd,A1M/1-1A1B,A1MDD,A1MDD01,55.9788909,-3.1843445
a021b7228c00,24.4,080118000013fff1ffd400080036ffc9ffc00044005fff7dff5c00ba0124ff037fdd0000fe6903cf005efd22ff4e01510146ffc2feed004b0040ffa60001002c001affe600020011002afffc0011fff0000fffea0010000bfff500000025000d000cfff4,A1M/1-1A1B,A1MDC,A1MDC03,55.97799389999999,-3.1969949
a021b7228c00,37.6,080118000011ffe7ffee002c002cffbbffc0007c0055ff3eff77016e0100fc847fe0000000d8023a00d5fe67ffb300c0001e0094fe6b00cf00b8ffd8ffaf002f0085ffa8002300250011ffd7002bffed00720013002ffff4fffbffe0003e00360029001b,A1M/1-1A1B,A1MDC,A1MDC03,55.97799389999999,-3.1969949
a021b72c52a4,37.6,0801180000160012fff5fff3003a0004ffcefff30055001cffa1ffd800d0001c7fb50000fc88fd44ff93001300bf00fe0075f8edffb3ff94009aff78002e000cfff40001fff40036002bffdafff6fff0000e001b005200320003ffd0005c006600280033,A1M/1-1A1B,A1MBG,A1MBG08,55.9787285,-3.1918718
a021b72c52a4,31,080118000018002fffdcffaf003d0084ffb8ff1b0050016fffa2fd8900e204be7f300000045bf77c01baff7dff56fd3f07f7fe0a00c8fecb008200a0ffc6ff920010004d0021ffff00360036003cffef0011ffe6000e0000ffeb002b003a00130034000f,A1M/1-1A1B,A1MBG,A1MBG08,55.9787285,-3.1918718
a021b7333070,24.4,080118000024ffabffb30066005dff1affa10176005ffdb1ffbf03f1ffc5f90c7dd300000cd10cdf0236fc7403c1042a08650357002103a400d7fed9000701570037ff69ffff0082ffe5ffb5002a0042ffed000f002f0027fff00003001f00160020fff6,A1M/1-1A1B,A1MBG,A1MBG03,55.97988059999999,-3.193128
a021b7333070,37.6,0801180000150021fff6fff00034002cffb5ffee0087003bff58ffb0012300647f9d0000fe56fd5f00f001a901cdfdf5038ff86ffe6f005801290000ff6f00040050ffcaffbd0051005bffe6ffe10019001e000f002f000b0008ffd3003e003500240013,A1M/1-1A1B,A1MBG,A1MBG03,55.97988059999999,-3.193128
a021b734a88c,24.4,08011800000100080008001dfff9ffe400090039ffd1ffb9004d008cff47ff817fdb0000fcc40445fed1ff20ff6ffebd0090ff0400610076003200520010fffffff5000e00010000001b001f000cfff5000afffd0020001efff7001a0028001100170005,A1M/1-1A1B,A1MDF,A1MDF06,55.97822379999999,-3.183635
a021b734a88c,37.6,08011800fffdffddfff000350018ffbdffe100720012ff56ffd80139003dfd0e7fe30000fe2e028efefcff54ffac01c4ff39ff51ff41ff51ffe4ff98ffcd00360030ff86002000250015fff5002500140067000a00300003fff2ffe100290045001d0024,A1M/1-1A1B,A1MDF,A1MDF06,55.97822379999999,-3.183635
a021b7396990,24.4,080118000016000effc6fffa0055000aff8d0014009f001dfee9fff6023b00f17fdd0000fc5702f2016eff91ff33009b0088ff89ff980081ffef003efffbff6d0040ffbbfff300270008001dfff2002f00190020002a0003ffd80000001d0012001b000a,A1M/1-1A1B,A1MDB,A1MDB20,55.976465,-3.183389
a021b7396990,37.6,080118000015fff6ffcd002f0046ffbeff8c006c00a6ff64ff0001420228fd167fd80000fe83030e012dfeb5ffad0086fffcff24ffc200f000c1ff87fef800dcfeab00e5002b001bffeafff000410003003200360059fff5ffc7003600520012003a0037,A1M/1-1A1B,A1MDB,A1MDB20,55.976465,-3.183389
a021b743851c,31,080118000042001fffb9ffd300800055ff3cff6b011f010afe1bfe38045f03a77f360000f86600b9013f0077feb5fcab08ecff2cfffffe71005600b7ff95ff68005cfff700aaff60001e00600034ffccfff3000efff0fff80003001d003cfffa002dffe2,A1M/1-1A1B,A1MBB,A1MBB11,55.9775709,-3.1915738
a021b7458e18,37.6,080118000032fff7ffca001d0068ffe7ff75005700f6ff91fe6d00ea038afdc17fd80000fda4000d00f3ff75fec6005a00b6ff72ff5b00a800d8ffcefecc00fefee400d80081ffe0ffda00110043000f001f005f005e0008ffb0003200650024005e0031,A1M/1-1A1B,A1MDB,A1MDB15,55.9708853,-3.1717006
a021b7458e18,24.4,0801180000030009ffce000100440021ff77000a00a80015fed8fff0026500cd7fe70000fdaf01790238fecbff32003f0096ffe9ffa000330032ffffffd9ff74002fff9effef001f0011fffefff800290011000c0003001cffc1fff100090007000a000b,A1M/1-1A1B,A1MDB,A1MDB15,55.9708853,-3.1717006
c005c206ed53,31,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDD,A1MDD04,55.9784663,-3.1855175
c005c206ed53,37.6,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDD,A1MDD04,55.9784663,-3.1855175
c005c2092c43,31,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDD,A1MDD13,55.97813470000001,-3.1854272
c005c2092c43,24.4,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDD,A1MDD13,55.97813470000001,-3.1854272
c005c20c8c93,37.6,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MBH,A1MBH04,55.9788158,-3.1878109
c005c20c8c93,31,0801180000000000ffff000000020003fffbfffb0005000afff7fff1000e002007fd00000014ffd2000d0000fff7ffec0025fffe0003fff600000004fffefffd000000030001fffd000000000001ffffffff00000001ffffffff00000000000000000000,A1M/1-1A1B,A1MBH,A1MBH04,55.9788158,-3.1878109
